ID,Uppm,6/4_Pb,U/Th,6/7_Pb,2sig_%,7/35,2sig_%,6/38,2sig_%,error_corr.,6/38_abs,2sig_abs,7/35_abs,2sig_abs,6/7_abs,2sig_abs,Best age,2sig_abs,Conc,Type
BRD-24-7c 001,126,2500,1.92,2.4035,11.9,0.39723,14.8,0.006928,8.7,0.589,44.5,3.9,339.6,42.7,3967.5,179,44.5,3.9,1.1,Ign.
BRD-24-7c 002,277,14558,1.38,22.2425,13.7,0.02256,14.3,0.003641,4,0.279,23.4,0.9,22.7,3.2,59,335,23.4,0.9,39.7,Ign.
BRD-24-7c 003,156,52043,5.36,9.3616,1.9,4.34407,4.7,0.29508,4.3,0.917,1666.9,63.4,1701.8,38.9,1745,34.5,1745,34.5,95.5,Ign.
BRD-24-7c 004,95,2500,3.49,19.9259,23.3,0.02536,24,0.003667,5.9,0.245,23.6,1.4,25.4,6,202.6,541.7,23.6,1.4,11.6,Ign.
BRD-24-7c 005,420,2500,1.54,17.1633,20.8,0.02939,21.1,0.003661,3.5,0.166,23.6,0.8,29.4,6.1,538.7,456.1,23.6,0.8,4.4,Ign.
BRD-24-7c 006,79,2500,2.8,20.6421,18.7,0.02458,20.5,0.003682,8.4,0.411,23.7,2,24.7,5,120,440.4,23.7,2,19.8,Ign.
BRD-24-7c 007,299,2500,1.15,4.0833,17.8,0.16796,19.5,0.004976,8,0.411,32,2.6,157.6,28.4,3151.4,282.5,32,2.6,1,Ign.
BRD-24-7c 008,229,2500,1.48,4.977,13,0.11979,14.4,0.004326,6.3,0.433,27.8,1.7,114.9,15.7,2833,212.7,27.8,1.7,1,Ign.
BRD-24-7c 009,418,2500,6.09,10.4854,34.8,0.05186,35,0.003946,4.2,0.119,25.4,1.1,51.3,17.5,1534.5,659.8,25.4,1.1,1.7,Ign.
BRD-24-7c 010,1012,2500,1.51,14.0513,15.8,0.0357,16.1,0.00364,2.9,0.182,23.4,0.7,35.6,5.6,961.3,323.1,23.4,0.7,2.4,Ign.
BRD-24-7c 011,345,2500,1.81,23.8424,23.7,0.0207,24,0.003582,3.5,0.146,23,0.8,20.8,4.9,231.1,599,23,0.8,10,Ign.
BRD-24-7c 012,172,30938,1.93,20.3323,12.2,0.02367,13.1,0.003492,4.7,0.359,22.5,1.1,23.8,3.1,155.5,286.5,22.5,1.1,14.5,Ign.
BRD-24-7c 013,136,2500,3.36,21.9995,19.2,0.02204,20.2,0.003519,6.1,0.303,22.6,1.4,22.1,4.4,32.2,467.7,22.6,1.4,70.2,Ign.
BRD-24-7c 014,146,2500,1.64,23.0971,22.4,0.02221,23.1,0.003722,5.6,0.244,24,1.3,22.3,5.1,151.7,557.5,24,1.3,15.8,Ign.
BRD-24-7c 015,222,2500,1.81,22.2,23.6,0.02229,24,0.00359,4.1,0.173,23.1,1,22.4,5.3,54.3,576.9,23.1,1,42.5,Ign.
BRD-24-7c 016,62,2500,2.7,3.7947,26.1,0.20138,28,0.005545,10.2,0.363,35.6,3.6,186.3,47.7,3267.2,412.4,35.6,3.6,1.1,Ign.
BRD-24-7c 017,115,2500,2.34,8.6112,55.6,0.0621,56.2,0.00388,8.4,0.149,25,2.1,61.2,33.4,1896.6,1020.2,25,2.1,1.3,Ign.
BRD-24-7c 019,191,2500,1.68,6.3804,29.5,0.0889,30,0.004116,5.3,0.178,26.5,1.4,86.5,24.9,2419.9,504,26.5,1.4,1.1,Ign.
BRD-24-7c 020,167,2500,2.41,24.1679,22.1,0.0211,22.7,0.0037,5.2,0.229,23.8,1.2,21.2,4.8,265.4,562.6,23.8,1.2,9,Ign.
BRD-24-7c 021,130,2500,1.79,2.0419,5.9,0.59672,8.6,0.008841,6.2,0.725,56.7,3.5,475.1,32.6,4210,87.3,56.7,3.5,1.3,Ign.
BRD-24-7c 023,260,2500,1.47,23.4526,24.1,0.02143,24.4,0.003647,3.8,0.155,23.5,0.9,21.5,5.2,189.7,604.1,23.5,0.9,12.4,Ign.
BRD-24-7c 024,71,2500,2.99,11.4267,40.4,0.04736,42.1,0.003926,11.8,0.28,25.3,3,47,19.3,1371,785.5,25.3,3,1.8,Ign.
BRD-24-7c 025,104,2500,2.93,16.9759,19.5,0.03059,20.6,0.003769,6.4,0.312,24.2,1.6,30.6,6.2,562.7,426.7,24.2,1.6,4.3,Ign.
BRD-24-7c 026,230,19158,1.81,19.9231,14,0.02532,14.5,0.003661,4,0.275,23.6,0.9,25.4,3.6,202.9,324.1,23.6,0.9,11.6,Ign.
BRD-24-7c 027,151,2500,2.19,5.0519,90.7,0.11886,91,0.004357,7,0.077,28,1.9,114,98.2,2808.6,1579.7,28,1.9,1,Ign.
BRD-24-7c 028,132,2500,1.58,8.1095,19.1,0.06587,19.9,0.003876,5.7,0.285,24.9,1.4,64.8,12.5,2003.9,339.4,24.9,1.4,1.2,Ign.
BRD-24-7c 029,266,16355,1.62,20.0039,13.8,0.02601,14.6,0.003776,4.7,0.324,24.3,1.1,26.1,3.8,193.5,321.4,24.3,1.1,12.6,Ign.
BRD-24-7c 030,236,2500,1.94,11.3882,15.3,0.04579,16.4,0.003784,5.9,0.363,24.3,1.4,45.5,7.3,1377.4,294.2,24.3,1.4,1.8,Ign.
BRD-24-7c 031,259,68159,4.38,16.6049,2.9,0.80221,4.3,0.096653,3.2,0.737,594.8,18.2,598.1,19.7,610.6,63.6,594.8,18.2,97.4,Ign.
BRD-24-7c 032,162,11271,1.99,12.898,32.7,0.03954,33.2,0.0037,5.3,0.161,23.8,1.3,39.4,12.8,1134,655.8,23.8,1.3,2.1,Ign.
BRD-24-7c 033,120,2500,1.87,11.8163,18.5,0.04462,20.6,0.003826,9,0.437,24.6,2.2,44.3,8.9,1306.2,360.6,24.6,2.2,1.9,Ign.
BRD-24-7c 034,59,2500,3.1,2.5377,11.7,0.36174,14,0.006661,7.6,0.546,42.8,3.3,313.5,37.8,3885.9,176.9,42.8,3.3,1.1,Ign.
BRD-24-7c 035,666,900139,313.91,13.1606,1.6,1.84956,2.8,0.176619,2.2,0.811,1048.5,21.6,1063.3,18.1,1093.8,32.2,1093.8,32.2,95.9,Ign.
BRD-24-7c 036,239,56232,4.15,11.3952,1.8,2.57571,7.1,0.212967,6.9,0.969,1244.6,78.2,1293.8,52.1,1376.3,33.9,1376.3,33.9,90.4,Ign.
,,,,,,,,,,,,,,,,,,,,
Rejected Analyses,Uppm,6/4_Pb,U/Th,6/7_Pb,2sig_%,7/35,2sig_%,6/38,2sig_%,error_corr.,6/38_abs,2sig_abs,7/35_abs,2sig_abs,6/7_abs,2sig_abs,Best age,2sig_abs,Conc,Error Code
BRD 24-7c 018,98,2500,1.02,21.6153,21.6,0.0223,23.8,0.003497,10.2,0.427,22.5,2.3,22.4,5.3,10.3,520,22.5,2.3,218.4,Variable Intensity 
BRD 24-7c 022,0,5000,1.02,10,1,0.1,1,0.1,1,0.8,500,1,500,1,500,1,500,1,100,"Bad (Low 235), 
Variable Intensity "
