Sample ID,Lab ID,Session,Ag,As,Ba,Bi,Cd,Cr,Cs,Cu,Ga,Ge,Hf,Mo,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,Tl,U,V,Y,Zn,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
20240809HHMGSC-022,20240809HHMGSC-022,48,0.04,2.33,504,0.033,0.05,30.2,0.85,49.6,21.4,1.53,4.11,1.07,7.52,13.7,5.63,27.9,0.5,28.35,1.36,728,0.41,2.98,0.12,0.81,258,29.82,102,156.5,27.62,62.65,7.94,33.31,7.23,2.04,6.60,0.98,5.37,1.10,2.99,0.44,2.63,0.40
20240810BMMGSC-026,20240810BMMGSC-026,48,0.02,3.25,757,0.039,0.06,7.3,1.14,49.7,21.1,1.29,4.64,1.22,8.67,5.4,11.91,54.7,0.3,17.85,1.95,672,0.31,7.18,0.26,1.85,147,30.22,88,188.8,32.11,66.85,8.50,34.79,7.12,1.93,6.45,0.96,5.39,1.06,3.09,0.44,2.81,0.44
20240812BMMGSC-027,20240812BMMGSC-027,48,0.02,2.03,669,0.029,0.05,5.2,0.41,1.8,20.3,1.34,4.29,0.56,8.49,2.6,8.34,45.1,0.2,13.67,2.30,657,0.21,5.43,0.22,1.65,93,27.93,84,168.7,31.05,65.12,8.11,32.80,6.52,1.81,5.73,0.84,4.89,0.99,2.79,0.42,2.72,0.40
20240812BMMGSC-028,20240812-028,48,0.02,1.53,1213,0.056,0.01,3.8,0.46,n.d.,16.7,1.35,5.73,0.35,11.89,2.4,19.00,70.7,0.3,2.04,1.12,536,0.32,9.17,0.46,2.11,8,25.50,71,223.9,44.43,85.71,10.29,37.79,6.04,1.53,4.86,0.73,4.07,0.83,2.51,0.40,2.69,0.45
20240812BMMGSC-029,20240812-029,48,0.04,1.28,932,0.051,0.04,17.0,0.33,31.0,20.3,1.24,4.54,0.66,9.14,8.1,14.00,37.5,0.4,15.16,1.24,598,0.33,5.98,0.25,1.70,130,25.18,91,177.2,29.53,62.00,7.73,30.75,6.20,1.72,5.30,0.78,4.44,0.88,2.46,0.37,2.25,0.35
20240812BMMGSC-031,20240812BMMGSC-031,48,0.02,2.23,554,0.017,0.03,8.2,0.87,21.0,20.3,1.38,3.48,0.21,6.34,5.4,8.54,26.4,0.5,20.05,1.19,678,0.11,5.09,0.20,1.30,180,28.94,120,132.4,25.57,53.37,6.82,28.57,6.14,1.77,5.71,0.87,5.14,1.05,2.97,0.44,2.84,0.43
20240813BMMGSC-034,20240813BMMGSC-034,48,0.03,2.90,756,0.071,0.05,31.3,1.35,9.9,18.1,1.44,4.77,1.32,12.92,13.6,20.38,122.9,0.5,14.94,1.26,459,0.79,19.92,0.50,3.83,120,21.51,58,173.1,43.79,84.94,9.53,33.95,6.04,1.26,4.74,0.67,3.81,0.75,2.04,0.32,2.01,0.29
20250521HHMGSC-037,2025HHMGSC-037,50,0.021,0.56,157,0.015,0.01,3.1,0.14,8.1,5.8,0.05,1.60,0.29,5.54,0.7,1.28,6.7,n.d.,3.79,0.36,194,n.d.,1.17,0.03,0.55,33,9.73,29,48,8.46,28.85,2.81,11.78,2.30,0.73,2.43,0.26,1.86,0.42,1.19,0.17,1.29,0.14
20250521HHMGSC-038,2025HHMGSC-038,50,0.021,0.63,177,0.018,0.01,3.1,0.21,9.3,6.8,0.08,1.79,0.37,6.36,1.2,2.57,8.9,0.01,4.02,0.58,203,n.d.,1.51,0.08,0.60,39,12.67,33,53,9.45,33.84,3.16,13.22,2.53,0.70,2.71,0.30,3.65,0.45,1.34,0.18,1.32,0.14
20250521MGSC-039,2025MGSC-039,50,0.033,0.37,395,0.007,0.01,11.0,0.63,13.1,9.5,0.12,2.03,0.17,4.76,2.3,3.82,21.4,n.d.,3.92,0.53,184,0.40,3.48,0.15,1.69,46,12.07,35,54,7.51,39.67,3.97,13.15,2.52,0.73,2.92,0.26,1.51,0.42,1.27,0.15,1.28,0.13
24-6a,24-61,50,0.016,0.58,190,0.001,0.00,0.3,0.22,11.8,7.1,0.04,1.69,0.24,6.73,n.d.,2.19,8.8,0.03,4.63,0.31,173,n.d.,1.92,0.02,1.10,38,22.09,28,50,8.10,27.99,2.77,12.26,2.51,0.68,2.84,0.31,2.34,0.53,1.45,0.20,1.91,0.16
24-7a,24-7a,50,0.024,0.79,413,0.050,0.01,0.5,0.88,5.5,9.4,0.13,3.23,0.36,5.38,0.0,2.98,34.3,0.03,3.35,0.60,139,0.64,6.05,0.33,1.70,9,17.39,34,63,18.48,50.38,5.43,18.57,3.84,0.92,3.23,0.42,3.03,0.57,1.83,0.25,1.83,0.29
24-7c,24-7c,50,0.020,0.74,429,0.041,0.02,1.1,0.94,5.5,8.6,0.11,3.30,0.38,8.26,0.1,5.15,36.1,0.02,3.69,0.64,133,0.45,6.30,0.32,1.75,9,16.98,34,63,17.56,51.84,5.28,18.63,3.85,0.83,3.28,0.42,2.53,0.56,1.77,0.23,1.82,0.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All trace elements are listed in parts per million (ppm).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The rare earth elements (REE) are listed at the right end of the table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trace elements were determined by LA-ICP-MS at the Colorado School of Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
